"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Bing","none","none","1960",94,119,133,2.03030303030303,0.555555555555556,11.7342317110499,0.94969696969697,22.4231313131313,15,4,37,11
"Bing","none","none","1970",93,120,136,2.63636363636364,0.555555555555556,11.6471223599633,0.236767676767677,22.5763636363636,22,4,49,11
"Bing","none","none","1980",92,121,138,2.82828282828283,0.575757575757576,11.257540557086,0.390505050505051,21.8675757575758,22,4,48,13
"Bing","none","none","1990",91,116,133,3.61616161616162,1.1010101010101,11.0668617998163,0.112121212121212,21.8083838383838,26,7,46,19
"Bing","none","none","2000",89,109,127,3.86868686868687,0.818181818181818,11.6922677532905,-0.302020202020202,23.7058585858586,32,6,56,24
"Bing","none","none","2010",90,110,126,4.80808080808081,1.24242424242424,11.7175941230487,-0.781414141414141,24.1549494949495,40,9,62,31
"Bing","none","none","2020",89,110,127,6.16161616161616,1.91919191919192,11.1843166513621,-1.18808080808081,23.4870707070707,43,13,64,39
"Bing","ACCESS-CM2","SSP1","2050",87,110,125,1.72727272727273,0.414141414141414,12.8122195439241,0.968787878787879,24.7025252525253,11,3,38,7
"Bing","AWI-CM-1-1-MR","SSP1","2050",86,106,123,1.71717171717172,0.494949494949495,12.8315576216713,1.35040404040404,24.5407070707071,10,4,30,7
"Bing","CIESM","SSP1","2050",90,108,124,3.39393939393939,0.94949494949495,13.1651947505357,-0.263333333333333,26.8676767676768,23,6,55,25
"Bing","CMCC-ESM2","SSP1","2050",87,109,125,2.18181818181818,0.565656565656566,12.5901465411693,0.701111111111111,24.5870707070707,14,3,41,14
"Bing","CNRM-CM6-1-HR","SSP1","2050",84,109,126,1.90909090909091,0.383838383838384,12.7610961891644,0.846969696969697,24.8370707070707,13,3,38,7
"Bing","CNRM-ESM2-1","SSP1","2050",89,109,126,2.56565656565657,0.606060606060606,12.2761007805326,0.201515151515151,24.5350505050505,18,5,49,14
"Bing","EC-Earth3-Veg-LR","SSP1","2050",85,106,123,2.87878787878788,0.94949494949495,12.5664566115702,0.322828282828283,25.0170707070707,21,7,47,21
"Bing","FGOALS-g3","SSP1","2050",88,106,124,3.36363636363636,1.21212121212121,12.2803791704928,0.106565656565657,24.6305050505051,21,9,47,19
"Bing","FIO-ESM-2-0","SSP1","2050",79,102,121,4.43434343434343,1.63636363636364,12.0445664983165,-0.0387878787878788,24.2361616161616,26,12,43,22
"Bing","GFDL-ESM4","SSP1","2050",85,106,123,2.65656565656566,0.828282828282828,12.698588536884,0.277474747474747,25.2808080808081,18,7,45,17
"Bing","HadGEM3-GC31-LL","SSP1","2050",88,109,125,1.80808080808081,0.494949494949495,12.672902509948,1.03949494949495,24.5664646464646,10,4,33,10
"Bing","HadGEM3-GC31-MM","SSP1","2050",86,106,123,1.63636363636364,0.373737373737374,13.1045485154576,1.3579797979798,25.1480808080808,12,3,31,8
"Bing","INM-CM4-8","SSP1","2050",87,106,123,2.24242424242424,0.636363636363636,12.6814214110805,0.71020202020202,24.980202020202,17,5,38,12
"Bing","INM-CM5-0","SSP1","2050",85,105,124,4.17171717171717,1.54545454545455,12.0123262932354,-0.420808080808081,24.3931313131313,27,11,54,22
"Bing","IPSL-CM6A-LR","SSP1","2050",87,109,125,1.80808080808081,0.373737373737374,12.6691789103153,0.988484848484849,24.5582828282828,11,3,36,7
"Bing","MIROC6","SSP1","2050",82,102,121,4.58585858585859,1.74747474747475,12.2088689929599,-0.251010101010101,24.7682828282828,24,12,47,23
"Bing","MPI-ESM1-2-LR","SSP1","2050",84,105,125,3.32323232323232,1.04040404040404,11.9445894551576,-0.0293939393939394,24.0657575757576,22,10,49,16
"Bing","MRI-ESM2-0","SSP1","2050",88,109,126,2.86868686868687,0.676767676767677,12.3069306703398,0.106161616161616,24.7710101010101,21,6,51,15
"Bing","NESM3","SSP1","2050",87,109,123,1.5050505050505,0.343434343434343,13.0357235231099,1.36888888888889,25.0752525252525,9,3,29,6
"Bing","ACCESS-CM2","SSP2","2050",84,107,126,1.97979797979798,0.505050505050505,13.0449827823691,1.21141414141414,25.2543434343434,13,3,30,9
"Bing","AWI-CM-1-1-MR","SSP2","2050",86,106,126,1.51515151515152,0.404040404040404,13.1998745026018,1.32636363636364,25.2227272727273,12,3,30,8
"Bing","CIESM","SSP2","2050",89,107,125,3.01010101010101,0.777777777777778,13.1688812366085,0.219393939393939,26.4634343434343,23,6,48,17
"Bing","CMCC-ESM2","SSP2","2050",86,107,124,2.83838383838384,0.868686868686869,12.4759492653811,0.455959595959596,24.7060606060606,15,8,42,15
"Bing","CNRM-CM6-1-HR","SSP2","2050",81,107,124,2.47474747474747,0.787878787878788,12.6486103458831,0.634848484848485,24.8721212121212,14,4,40,11
"Bing","CNRM-ESM2-1","SSP2","2050",89,109,127,3.6969696969697,0.929292929292929,11.8397298745026,-0.29050505050505,24.0529292929293,27,8,55,21
"Bing","EC-Earth3-CC","SSP2","2050",89,110,126,2.35353535353535,0.454545454545455,12.2009243954698,0.412323232323232,24.0533333333333,15,5,46,13
"Bing","EC-Earth3-Veg-LR","SSP2","2050",84,105,124,3.94949494949495,1.60606060606061,12.2289378634833,0.22969696969697,24.2466666666667,23,8,40,20
"Bing","FGOALS-g3","SSP2","2050",81,102,121,4.46464646464646,1.68686868686869,12.0991754667891,0.194848484848485,24.1510101010101,23,11,38,19
"Bing","FIO-ESM-2-0","SSP2","2050",83,104,121,2.67676767676768,0.97979797979798,12.8032158708295,0.839292929292929,25.0882828282828,19,9,30,14
"Bing","GFDL-ESM4","SSP2","2050",82,101,121,3.8989898989899,1.70707070707071,12.7871648301194,0.54050505050505,25.2584848484848,23,11,35,19
"Bing","HadGEM3-GC31-LL","SSP2","2050",89,108,124,2.08080808080808,0.464646464646465,12.6597497704316,0.795656565656566,24.5669696969697,11,4,38,8
"Bing","INM-CM4-8","SSP2","2050",88,108,125,2,0.474747474747475,12.5877793082339,0.963737373737374,24.4220202020202,11,4,34,7
"Bing","INM-CM5-0","SSP2","2050",81,104,124,5.65656565656566,2.33333333333333,11.5332560453015,-0.527171717171717,23.7228282828283,27,14,53,25
"Bing","IPSL-CM6A-LR","SSP2","2050",86,108,126,2.04040404040404,0.414141414141414,12.3813663146618,0.961010101010101,23.9116161616162,13,2,36,8
"Bing","MIROC6","SSP2","2050",84,103,123,4.34343434343434,1.55555555555556,12.2166892408938,-0.112828282828283,24.6060606060606,25,12,48,24
"Bing","MPI-ESM1-2-LR","SSP2","2050",85,108,126,2.91919191919192,0.717171717171717,11.7644915059688,0.18010101010101,23.6978787878788,22,6,48,15
"Bing","MRI-ESM2-0","SSP2","2050",87,107,124,2.95959595959596,0.888888888888889,12.5650990970309,0.286868686868687,24.9759595959596,19,8,48,17
"Bing","NESM3","SSP2","2050",91,109,122,0.919191919191919,0.181818181818182,13.657218396082,1.8830303030303,25.6607070707071,7,1,21,4
"Bing","ACCESS-CM2","SSP3","2050",85,110,126,1.46464646464646,0.313131313131313,12.9809852310989,1.18313131313131,24.9824242424242,9,2,31,6
"Bing","AWI-CM-1-1-MR","SSP3","2050",86,106,129,0.888888888888889,0.252525252525253,14.1674571472299,2.40171717171717,25.7222222222222,9,2,17,7
"Bing","CNRM-CM6-1-HR","SSP3","2050",83,107,127,2.48484848484848,0.727272727272727,12.4851228191001,0.43040404040404,24.7011111111111,13,5,43,12
"Bing","CNRM-ESM2-1","SSP3","2050",89,108,125,2.29292929292929,0.555555555555556,12.3795347413529,0.489090909090909,24.3772727272727,15,5,44,13
"Bing","EC-Earth3-AerChem","SSP3","2050",87,110,125,2.33333333333333,0.545454545454545,12.3358432812978,0.544545454545455,24.3854545454545,15,5,44,12
"Bing","EC-Earth3-Veg-LR","SSP3","2050",80,104,123,3.33333333333333,1.28282828282828,12.3931535047444,0.812020202020202,24.0911111111111,21,8,30,17
"Bing","FGOALS-g3","SSP3","2050",82,102,120,3.4040404040404,1.4040404040404,12.535624043465,0.652222222222222,24.5,20,9,30,16
"Bing","GFDL-ESM4","SSP3","2050",84,104,121,2.45454545454545,0.888888888888889,12.983085016835,0.901212121212121,25.1635353535354,18,7,31,13
"Bing","INM-CM4-8","SSP3","2050",87,107,125,2.19191919191919,0.505050505050505,12.4048033363942,0.728787878787879,24.3485858585859,13,4,40,10
"Bing","INM-CM5-0","SSP3","2050",82,105,126,4.57575757575758,1.62626262626263,11.6561658249158,-0.237171717171717,23.5259595959596,24,8,50,23
"Bing","IPSL-CM6A-LR","SSP3","2050",88,108,125,1.87878787878788,0.373737373737374,12.5518392255892,1.11494949494949,24.2191919191919,10,3,34,5
"Bing","MIROC6","SSP3","2050",84,106,122,2.39393939393939,0.707070707070707,12.7198232323232,0.69,24.9458585858586,14,5,38,11
"Bing","MPI-ESM1-2-LR","SSP3","2050",84,105,125,2.21212121212121,0.666666666666667,12.2726656718702,1.06777777777778,23.6761616161616,13,5,31,8
"Bing","MRI-ESM2-0","SSP3","2050",85,106,124,2.90909090909091,1,12.4690736914601,0.321818181818182,24.7824242424242,20,6,43,19
"Bing","ACCESS-CM2","SSP5","2050",82,106,126,2.27272727272727,0.767676767676768,12.9113521579431,0.925656565656566,25.1154545454545,13,5,28,10
"Bing","AWI-CM-1-1-MR","SSP5","2050",84,106,125,0.717171717171717,0.252525252525253,13.4505119375574,2.57393939393939,24.6008080808081,5,2,13,5
"Bing","CIESM","SSP5","2050",87,107,124,3.2020202020202,0.939393939393939,13.0411478420569,0.154848484848485,26.3975757575758,23,7,46,19
"Bing","CMCC-ESM2","SSP5","2050",84,108,124,2.18181818181818,0.595959595959596,12.850222681359,0.885252525252525,24.9823232323232,14,5,37,12
"Bing","CNRM-CM6-1-HR","SSP5","2050",81,107,128,1.92929292929293,0.545454545454545,12.7532786195286,1.09808080808081,24.6125252525253,9,4,33,9
"Bing","CNRM-ESM2-1","SSP5","2050",89,109,126,2.63636363636364,0.565656565656566,12.1831917661463,0.352020202020202,24.2311111111111,19,6,48,14
"Bing","EC-Earth3-CC","SSP5","2050",89,109,125,1.85858585858586,0.424242424242424,12.5069781144781,0.913535353535354,24.2409090909091,12,4,37,8
"Bing","EC-Earth3-Veg-LR","SSP5","2050",86,107,125,2.4040404040404,0.686868686868687,12.4768361646771,0.708484848484848,24.4061616161616,14,5,39,13
"Bing","FGOALS-g3","SSP5","2050",82,102,120,3.91919191919192,1.51515151515152,12.250645087236,0.363939393939394,24.3271717171717,24,13,36,20
"Bing","FIO-ESM-2-0","SSP5","2050",84,104,120,2.60606060606061,0.98989898989899,13.3576664370983,1.02454545454545,25.7843434343434,14,6,31,11
"Bing","GFDL-ESM4","SSP5","2050",79,102,120,3.46464646464646,1.31313131313131,12.6737637741047,0.511616161616162,24.8935353535354,22,10,40,17
"Bing","HadGEM3-GC31-LL","SSP5","2050",86,108,126,1.37373737373737,0.353535353535354,13.2673810070401,1.63676767676768,25.0464646464646,10,3,26,5
