"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Lapins","none","none","1960",110,129,144,0.797979797979798,0.141414141414141,12.9757878022651,2.3749494949495,23.2257575757576,7,1,18,4
"Lapins","none","none","1970",112,131,145,1.5050505050505,0.434343434343434,13.1480287725742,1.75636363636364,23.5847474747475,12,4,28,9
"Lapins","none","none","1980",113,132,147,1.80808080808081,0.494949494949495,12.7537021732476,1.70212121212121,23.0872727272727,14,5,27,10
"Lapins","none","none","1990",104,127,143,1.17171717171717,0.323232323232323,12.7513999846954,1.68020202020202,23.2444444444444,11,3,27,9
"Lapins","none","none","2000",92,119,137,2.49494949494949,0.717171717171717,12.7431787572697,0.612424242424242,24.88,18,7,44,14
"Lapins","none","none","2010",95,120,138,3.11111111111111,0.858585858585859,12.8223090756045,0.333737373737374,25.2734343434343,21,5,50,18
"Lapins","none","none","2020",86,118,137,4.95959595959596,1.65656565656566,12.0509615090297,-0.452222222222222,24.6181818181818,33,13,53,21
"Lapins","ACCESS-CM2","SSP1","2050",68,105,126,3.45454545454545,1.2020202020202,11.9409817875727,0.244949494949495,24.1824242424242,25,9,47,18
"Lapins","AWI-CM-1-1-MR","SSP1","2050",76,108,128,2.45454545454545,0.808080808080808,12.5118583562902,0.987474747474748,24.449898989899,15,8,33,12
"Lapins","CIESM","SSP1","2050",91,114,131,4.67676767676768,1.95959595959596,13.178528849097,-0.516060606060606,26.6437373737374,29,13,53,28
"Lapins","CMCC-ESM2","SSP1","2050",75,107,128,3.2020202020202,0.909090909090909,11.9952911692684,0.116969696969697,24.1125252525253,25,7,49,21
"Lapins","CNRM-CM6-1-HR","SSP1","2050",60,100,124,4.26262626262626,1.65656565656566,11.3026557239057,-0.0142424242424242,22.9785858585859,28,11,43,20
