"species","repetition","cultivar","yc","zc","s1","Tu","theta_c","tau","pie_c","Tf","Tb","slope","Tc","theta_star","E0","E1","A0","A1"
"Sweet Cherry",1,"Sylvia",51.6254634,383.9929794,0.1950694,20.1649795,286.5215552,45.5393556,30.7707126,3.7952543,2.1878405,1.4174467,36,279,3514.7573632833,8190.94742007057,10420.4663017711,127588932716.474
"Sweet Cherry",1,"Vic",41.0132281,400.4545584,0.6234385,15.0549131,285.2333064,44.3465627,33.4115333,3.9921192,9.4586126,4.9137862,36,279,4271.37025716753,7793.80431659796,188310.119437372,43462043408.1285
"Sweet Cherry",1,"Schneiders",62.812024,258.696738,0.45099,21.48619,285.960932,46.739709,34.484677,3.354298,3.604345,2.157471,36,279,3825.12639298013,8202.15709970769,32370.8070837191,143759316491.175
"Sweet Cherry",2,"Precòce Bernard",41.861064,447.709314,0.5831147,21.7156392,285.3861058,42.3652657,35.2746675,3.4184508,2.4548732,2.8812487,36,279,4169.69343935767,8680.59497804476,125034.270737444,915424865429.835
"Sweet Cherry",2,"Pico Colorado",47.1337699,347.8419467,0.9979113,15.0300569,285.8074976,37.8663326,32.440687,5.8626835,9.6962781,4.9840008,36,279,3856.80819430451,9262.6965656604,42035.593326958,6887371419551.76
"Sweet Cherry",2,"Pico Negro",42.9558924,389.3107604,0.8865518,15.3218738,286.3104796,46.9644636,31.7869428,3.9479883,7.8516164,3.2331608,36,279,3639.81997671274,7972.43041724855,16374.9211732724,61117617473.7
"Sweet Cherry",2,"Van-Spur",72.6441,387.904172,0.850812,15.549995,285.083604,26.162376,24.392691,2.635032,8.25027,4.495103,36,279,4352.69935812892,9588.02857787796,377158.474273539,35644282005136.1
"Sweet Cherry",3,"Bing",43.8600252,316.9577054,0.7088306,25.6682184,286.3321935,47.034978,31.3062007,4.0627558,2.6170267,3.4019158,36,279,3632.01850078675,7892.13870653833,15973.768678822,46232418072.0972
"Sweet Cherry",3,"Regina",58.6666392,237.1515506,0.2790222,20.3809337,285.4160309,47.9829254,36.5268826,2.7994933,5.1169563,2.5409324,36,279,4159.47285628413,7989.67818620041,112246.461549927,75559002716.9798
"Sweet Cherry",4,"Burlat",49.4925367,208.6549546,0.1552247,26.776999,285.8149339,47.7194859,29.4474934,3.1965869,2.051547,3.4904765,36,279,3908.74135768096,6977.71777501069,48519.6527753116,2234669401.33506
