"species","repetition","cultivar","yc","zc","s1","Tu","theta_c","tau","pie_c","Tf","Tb","slope"
"Apricot","1","Búlida",26.394186,279.4280268,0.1644973,26.5709945,285.1987053,42.6137206,35.7841796,4.0801592,2.3147157,4.8833481
"Apricot","1","Canino",47.3025757,105.6314748,0.1019228,21.1535928,286.7833105,40.9996242,25.0434466,5.2100024,5.7303347,3.2582152
"Apricot","1","Dorada",42.2708598,285.2468022,0.1395504,16.8324141,286.0081795,40.3680246,24.0024004,6.1972073,5.9047123,3.94029
"Apricot","1","Goldrich",64.6513201,265.1068233,0.2757473,17.396193,285.8957184,28.3047477,24.1226099,2.4870455,3.9914258,3.5064245
"Apricot","1","Pepito del Rubio",27.2606777,143.3485123,0.2235944,21.7691147,284.2343575,46.8303248,38.963498,2.0030772,6.8917022,2.2835612
"Apricot","1","Stark E. Orange",48.1779385,157.5522819,0.8210901,20.9501694,286.6592453,44.4726623,28.3264645,4.1551789,6.6773818,3.7756932
"Apricot","1","Sunglo",28.687773,194.9411914,0.3679859,19.9471252,284.5995513,44.0329697,41.1005508,6.4710179,6.9897473,3.95342
"Apricot","1","Mitger",33.0045095,311.9702918,0.7079437,19.2008823,286.0879446,43.9489292,26.1389356,5.148422,3.9700908,2.7961108
"Apricot","1","Henderson",34.7294917,181.3527521,0.3479888,21.7512961,284.358713,45.662831,35.5928954,5.4938724,4.8649669,3.4434439
"Apricot","1","Pandora",45.6407655,135.9999931,0.1001758,19.9568233,285.8404073,39.0762227,31.8355713,3.0326283,5.9140389,4.6122779
"Apricot","1","Veecot",36.8301961,150.6873699,0.3353431,18.1552346,284.1936417,39.8766077,33.356241,3.8073181,7.7662853,2.641725
"Apricot","1","Tadeo",40.4458435,213.3391995,0.1948825,16.9119395,286.0297854,37.3134935,32.1993648,4.4392665,7.9606048,3.1179628
"Apricot","1","Harcot",30.3950613,260.4391757,0.3522698,24.0064792,284.1202334,27.6378588,24.5825252,7.2405862,2.254249,1.5345075
"Apricot","2","Búlida",38.6688261,230.0199779,0.1368163,23.143283,286.1623889,46.1560522,24.5155559,2.9255062,2.4115195,3.3757388
"Apricot","2","Canino",24.8437816,367.0646346,0.7134826,18.0142445,284.6985509,46.6665441,24.2361556,4.3163292,2.9430685,3.1395742
"Apricot","2","Dorada",27.3343662,294.0352376,0.1105921,23.6523853,285.051542,46.3658486,25.4803505,10,3.532032,4.4017834
"Apricot","2","Goldrich",48.640155,179.623845,0.619737,17.827519,285.977124,37.675485,28.872473,4.445552,6.214193,1.657666
"Apricot","2","Pepito del Rubio",33.7251855,267.305184,0.2252486,18.6621775,285.9080312,45.7823586,30.6552894,2.8758503,4.9548147,2.764254
"Apricot","2","Stark E. Orange",44.6777791,198.1008774,0.9970733,21.016717,286.1852434,42.8114378,35.1708316,4.7332272,5.5624049,3.3878065
"Apricot","2","Sunglo",35.6361391,185.5626131,0.2822429,21.6347385,285.6508697,41.1067925,28.8927715,5.2811767,6.5057244,2.8977111
"Apricot","2","Mitger",36.848775,211.0862442,0.2474666,27.4700951,285.5438446,38.4553043,29.6070535,3.6226393,2.0814967,2.7618702
"Apricot","2","Henderson",40.0233678,297.1903436,0.8676751,16.542789,285.9078791,42.2979695,31.9424627,5.7133472,5.426621,1.9861491
"Apricot","2","Pandora",40.8910438,177.8468151,0.1703056,18.8448231,285.8687685,38.9055153,33.1116022,3.3471703,6.246825,4.099903
"Apricot","2","Veecot",47.7399593,207.6621254,0.1927251,20.5048341,285.5178179,28.1604949,26.1024286,6.2648759,4.7034807,3.0886786
"Apricot","2","Tadeo",45.3070752,209.6722558,0.1738805,17.9973173,285.2801458,35.1347674,24.0538237,2.9553426,6.4557125,1.2359208
"Apricot","2","Harcot",50.87008,174.294698,0.148067,20.893743,286.155715,31.53478,24.942272,2.709941,5.986469,1.242398
"Apricot","3","Búlida",37.2533134,129.6442634,0.9999048,24.212488,285.8947928,45.049415,25.790348,6.1149107,7.4851787,3.4413726
"Apricot","3","Canino",33.9859304,285.9364273,0.3096267,16.0007573,286.8091765,44.9979471,25.1754056,5.0914438,5.1123337,2.3580496
"Apricot","3","Dorada",33.9375255,190.9609816,0.1734098,21.6484662,285.113645,35.6231203,25.0762768,6.7135387,9.9875,2.9939072
"Apricot","3","Goldrich",33.2886138,240.0353003,0.3289233,17.1266825,284.2596532,41.1972358,33.4417082,3.778862,6.079776,4.8953979
"Apricot","3","Pepito del Rubio",43.7006702,249.753257,0.4152454,19.6259753,286.748997,41.2506479,24.2883333,2.008538,4.8500112,4.0004172
"Apricot","3","Stark E. Orange",36.939176,209.1969539,0.9466037,24.7366441,286.0548171,46.2301025,32.1484399,7.1213931,3.0098895,3.1094825
"Apricot","3","Sunglo",44.1685057,187.3011115,0.4625365,19.0705269,285.7336453,39.0761729,30.0770647,4.4151067,7.7510732,3.7783155
"Apricot","3","Mitger",54.12732,305.10044,0.9958686,19.4811256,285.7662933,29.2764553,24.9018854,3.6292153,3.5116996,4.1856018
"Apricot","3","Henderson",50.533041,315.406873,0.955,18.086448,285.632975,36.390223,29.924255,5.140542,2.953507,3.916474
"Apricot","3","Pandora",37.566711,175.355543,0.133559,17.107586,285.856118,45.78206,31.679515,4.033098,6.536367,4.414645
"Apricot","3","Veecot",29.4063848,312.1829355,0.4194151,19.9976183,285.4334935,44.252223,33.204537,3.6013629,2.9025865,3.7184796
"Apricot","3","Tadeo",34.872515,234.286716,1,18.048867,284.080139,45.163129,28.664741,4.675379,4.993111,3.900945
"Apricot","3","Harcot",45.4963365,184.0859805,0.2280883,19.4245235,284.119782,33.4079288,31.9399484,2.0070774,6.4917415,2.5824244
"Apricot","4","Búlida",20.4721567,345.3228584,0.1000278,25.6974134,284.033925,39.3560134,32.2262093,3.2159166,2.0639452,4.878858
"Apricot","4","Canino",31.2321047,143.9195783,0.2173875,18.387118,284.2455124,42.7965212,33.7391864,2.997935,8.0959705,3.6520762
"Apricot","4","Dorada",33.8775705,420.7217944,0.1929914,16.4327797,285.0371594,39.95966,26.0847186,5.2490209,4.6460731,2.0502645
"Apricot","4","Goldrich",41.2921607,207.892215,0.3439968,19.2238813,286.7615189,46.5389079,25.8079421,2.1652996,4.5008304,1.7318322
"Apricot","4","Pepito del Rubio",26.2749003,290.1676536,0.4704772,17.4508538,284.2994325,45.6554019,31.7857308,3.9923693,6.0169009,2.8331083
"Apricot","4","Stark E. Orange",35.0518986,198.1849431,0.9272606,23.5400614,284.7327842,43.5918891,37.4752717,6.0682789,4.0896187,2.9952794
